number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
46,0.6904761904761905,2025-12-09 09:32:09.541640,2025-12-09 09:32:10.055452,0 days 00:00:00.513812,0.7718187427641995,1.6463199325919347,0.011865919495138924,3,3,333,0.7105339333618059,COMPLETE
47,0.6504761904761904,2025-12-09 09:32:10.060174,2025-12-09 09:32:10.371137,0 days 00:00:00.310963,0.7734220638881071,0.9985026003981347,0.010997762430574123,2,2,241,0.7220803137908135,COMPLETE
48,0.6495238095238095,2025-12-09 09:32:10.375240,2025-12-09 09:32:10.531322,0 days 00:00:00.156082,0.7163849194694323,1.6311606659361597,0.03371296648547792,3,4,115,0.7444323951785161,COMPLETE
49,0.6504761904761904,2025-12-09 09:32:10.535332,2025-12-09 09:32:10.878241,0 days 00:00:00.342909,0.686863443555648,1.8785625093761955,0.007127817731363976,3,6,336,0.969177615285879,COMPLETE
50,0.5,2025-12-09 09:32:10.882252,2025-12-09 09:32:11.059607,0 days 00:00:00.177355,0.6244447146235825,3.767043803583733,0.005234673418749472,4,5,208,0.50054305224177,COMPLETE
51,0.6904761904761905,2025-12-09 09:32:11.061614,2025-12-09 09:32:11.383436,0 days 00:00:00.321822,0.8175949017668886,2.0735034276490314,0.023173699607263624,2,3,313,0.705033878952882,COMPLETE
52,0.6638095238095237,2025-12-09 09:32:11.387446,2025-12-09 09:32:11.700475,0 days 00:00:00.313029,0.9719816648184014,2.793694425392991,0.021503626559157565,2,3,292,0.6615245741160423,COMPLETE
53,0.5961904761904762,2025-12-09 09:32:11.702480,2025-12-09 09:32:12.027409,0 days 00:00:00.324929,0.7576913163712966,1.911697314564575,0.031619694882814554,2,2,308,0.7110142998409289,COMPLETE
54,0.5952380952380952,2025-12-09 09:32:12.031419,2025-12-09 09:32:12.348882,0 days 00:00:00.317463,0.7300984116413282,3.0444516981200342,0.013562511788624384,3,3,275,0.7841363814550801,COMPLETE
55,0.6628571428571428,2025-12-09 09:32:12.352892,2025-12-09 09:32:12.755447,0 days 00:00:00.402555,0.8301193406809046,1.7203944257069355,0.020847810045463794,3,4,318,0.8585842017332215,COMPLETE
56,0.5971428571428571,2025-12-09 09:32:12.760463,2025-12-09 09:32:13.049475,0 days 00:00:00.289012,0.7767440641822163,0.9049144858438424,0.008841733242560611,2,5,337,0.6348895552760184,COMPLETE
57,0.47333333333333333,2025-12-09 09:32:13.053475,2025-12-09 09:32:13.356887,0 days 00:00:00.303412,0.8625531100730199,1.2945886561145925,0.023393300513732552,8,10,349,0.8245022735991067,COMPLETE
58,0.6371428571428571,2025-12-09 09:32:13.361887,2025-12-09 09:32:13.645715,0 days 00:00:00.283828,0.810853689924089,2.0394624831284096,0.05384988739766328,2,4,303,0.7703863569618451,COMPLETE
59,0.6371428571428571,2025-12-09 09:32:13.649715,2025-12-09 09:32:14.051370,0 days 00:00:00.401655,0.8971908537350382,2.367951318770328,0.01665523680450052,5,1,290,0.6694182460979647,COMPLETE
60,0.6628571428571429,2025-12-09 09:32:14.055380,2025-12-09 09:32:14.425139,0 days 00:00:00.369759,0.8821613733421557,0.5895379850926156,0.03777124000314792,7,3,315,0.877669336695578,COMPLETE
61,0.6638095238095237,2025-12-09 09:32:14.429518,2025-12-09 09:32:14.789925,0 days 00:00:00.360407,0.9699225093554609,2.758903521101137,0.022549456312192663,2,3,291,0.6367594900890226,COMPLETE
62,0.6647619047619047,2025-12-09 09:32:14.796844,2025-12-09 09:32:15.256089,0 days 00:00:00.459245,0.929880099924854,2.660598369292254,0.013693086519499662,3,2,328,0.6734768019171101,COMPLETE
63,0.6085714285714287,2025-12-09 09:32:15.262390,2025-12-09 09:32:15.822442,0 days 00:00:00.560052,0.9195474527525491,2.257646986918149,0.01062941735306687,3,2,330,0.6153293383796351,COMPLETE
64,0.5961904761904762,2025-12-09 09:32:15.829568,2025-12-09 09:32:16.283580,0 days 00:00:00.454012,0.8454953988241266,2.521030702504132,0.01453534100100924,4,2,339,0.726885142394295,COMPLETE
65,0.5961904761904762,2025-12-09 09:32:16.287592,2025-12-09 09:32:16.642446,0 days 00:00:00.354854,0.9271614941346794,3.083887795963836,0.007837282818810057,3,1,185,0.8469765776888358,COMPLETE
66,0.6504761904761904,2025-12-09 09:32:16.647618,2025-12-09 09:32:17.077960,0 days 00:00:00.430342,0.965047415938781,1.558032477660314,0.004607327835767856,3,4,319,0.7532021596450014,COMPLETE
67,0.5819047619047619,2025-12-09 09:32:17.081970,2025-12-09 09:32:17.450904,0 days 00:00:00.368934,0.7951386382274104,2.6197968010528796,0.018969752366916753,5,2,304,0.7033279074226069,COMPLETE
68,0.6085714285714285,2025-12-09 09:32:17.454913,2025-12-09 09:32:17.678338,0 days 00:00:00.223425,0.7466656135192488,2.0085075638184557,0.012659164787947685,6,3,163,0.6766891063260725,COMPLETE
69,0.6371428571428571,2025-12-09 09:32:17.682477,2025-12-09 09:32:17.973096,0 days 00:00:00.290619,0.6919586202896463,1.2177712884248908,0.0031596005131296653,7,5,272,0.7083020048165198,COMPLETE
70,0.6638095238095237,2025-12-09 09:32:17.979097,2025-12-09 09:32:18.285120,0 days 00:00:00.306023,0.8242094241086633,3.273247069273867,0.028292966226724642,4,6,344,0.915126656410989,COMPLETE
71,0.6771428571428572,2025-12-09 09:32:18.289120,2025-12-09 09:32:18.659131,0 days 00:00:00.370011,0.980082435772846,2.9334377493224455,0.019451729226213743,2,3,283,0.6114230042908411,COMPLETE
72,0.5961904761904762,2025-12-09 09:32:18.663143,2025-12-09 09:32:18.978202,0 days 00:00:00.315059,0.9876947144803309,2.9405678437078833,0.01772633946844669,2,3,253,0.5723741703993135,COMPLETE
73,0.6095238095238095,2025-12-09 09:32:18.982212,2025-12-09 09:32:19.300566,0 days 00:00:00.318354,0.9800977166838993,2.4430797518849974,0.010083926577667358,2,4,329,0.5450646989525563,COMPLETE
74,0.6352380952380952,2025-12-09 09:32:19.304314,2025-12-09 09:32:19.638636,0 days 00:00:00.334322,0.959143397918442,3.721335767922805,0.015263354143576945,2,2,285,0.6134765895847112,COMPLETE
75,0.6638095238095237,2025-12-09 09:32:19.645621,2025-12-09 09:32:19.956294,0 days 00:00:00.310673,0.9380652221177547,2.2316574786133265,0.02467643338069736,3,3,230,0.6009932868642831,COMPLETE
76,0.6238095238095237,2025-12-09 09:32:19.961160,2025-12-09 09:32:20.303914,0 days 00:00:00.342754,0.9098221692835861,0.0036829752063569643,0.08744741031723695,10,4,298,0.78244185482035,COMPLETE
77,0.6361904761904762,2025-12-09 09:32:20.310589,2025-12-09 09:32:20.673577,0 days 00:00:00.362988,0.9959749380122669,1.473325083385819,0.03379306047924072,3,3,317,0.6527154471388255,COMPLETE
78,0.6238095238095237,2025-12-09 09:32:20.679333,2025-12-09 09:32:21.116375,0 days 00:00:00.437042,0.8510962031163001,2.678667972382823,0.011952967942105824,8,2,330,0.8164469021863247,COMPLETE
79,0.47333333333333333,2025-12-09 09:32:21.120122,2025-12-09 09:32:21.358054,0 days 00:00:00.237932,0.8762929639101906,3.2807320006471845,0.0443234895332076,5,9,282,0.7377315678416386,COMPLETE
80,0.5838095238095238,2025-12-09 09:32:21.362657,2025-12-09 09:32:21.706754,0 days 00:00:00.344097,0.7837068021700044,1.8236889577701618,0.028646560820665082,6,4,268,0.6469753998501283,COMPLETE
81,0.6771428571428572,2025-12-09 09:32:21.711109,2025-12-09 09:32:22.070029,0 days 00:00:00.358920,0.9764181150712707,2.7999248815711786,0.020049181327890273,2,3,301,0.6792796226601621,COMPLETE
82,0.6371428571428572,2025-12-09 09:32:22.076060,2025-12-09 09:32:22.394600,0 days 00:00:00.318540,0.9497438953834784,2.9540484542370162,0.019226251877899746,2,3,241,0.674039844972324,COMPLETE
83,0.6904761904761905,2025-12-09 09:32:22.397637,2025-12-09 09:32:22.854712,0 days 00:00:00.457075,0.9314564627972721,1.061384063904611,0.015663407092024167,2,2,310,0.7009998500218152,COMPLETE
84,0.6914285714285715,2025-12-09 09:32:22.858716,2025-12-09 09:32:23.333289,0 days 00:00:00.474573,0.9378682906941728,1.0715642860319639,0.015519394736897495,2,2,305,0.6979575400904284,COMPLETE
